id,longitude,latitude,night_light_proxy
baseline_00001,10.867663400755095,45.86486621455992,51
baseline_00002,11.564716374938122,46.25494390411626,15
baseline_00003,11.08955884601202,45.69849759212238,16
baseline_00004,10.782478778143387,46.10755866138104,19
baseline_00005,11.433918606998652,46.14160954033536,16
baseline_00006,10.785201852553122,46.17973591685895,14
baseline_00007,11.669473347270511,46.27338588227066,21
baseline_00008,10.966186379625787,45.8066057946408,30
baseline_00009,11.732427671068557,46.19217428263648,23
baseline_00010,11.671450751787596,46.300560728799496,31
baseline_00011,11.024017883874997,46.14771602102667,27
baseline_00012,11.705101412308913,46.204899406503,11
baseline_00013,11.753897089342209,46.169488241196795,18
baseline_00014,10.796467365453537,45.921789918284404,24
baseline_00015,10.57273836086089,45.8731067763957,29
baseline_00016,10.604777306762763,45.91197162097137,25
baseline_00017,11.412468132294693,45.986684814284004,11
baseline_00018,11.011399243474346,45.85307868836293,253
baseline_00019,11.431125432865041,46.196823482623174,13
baseline_00020,10.710726414121424,46.30004033526903,15
baseline_00021,10.699040198570534,45.99926331500994,20
baseline_00022,11.725414803508926,46.34035920951468,28
baseline_00023,10.928727385765429,45.90316972993255,33
baseline_00024,11.442308809197783,46.01317782971449,16
baseline_00025,10.852332117311542,45.88500863126964,255
baseline_00026,11.055538204563822,45.861520168996776,59
baseline_00027,10.61784050218488,46.21257753815937,40
baseline_00028,11.648717907608283,46.035996491938064,23
baseline_00029,10.548169594093881,46.0011245906459,20
baseline_00030,11.481994779175622,46.13475299128993,13
baseline_00031,10.855270264879337,46.224203394861476,41
baseline_00032,10.620715234553497,46.046839186527194,18
baseline_00033,11.830818132544687,46.42166138052763,46
baseline_00034,10.903034755850326,46.22247247036859,60
baseline_00035,11.604051708316524,46.13682488396542,17
baseline_00036,11.628396012053125,46.12906153642433,14
baseline_00037,11.779599871835007,46.388241137389926,29
baseline_00038,10.916734869047946,45.722692425218405,26
baseline_00039,11.778523905533625,46.48740497253164,17
baseline_00040,10.581592690560107,46.090901608425334,64
baseline_00041,11.170165172149998,46.145791786898705,47
baseline_00042,10.852598681035282,46.42330815241013,24
baseline_00043,11.091395914622609,45.85504948945404,27
baseline_00044,10.756063093478817,45.94099608931807,18
baseline_00045,11.11399769151104,46.11807042172909,237
baseline_00046,10.634993435768113,45.86614494321284,18
baseline_00047,10.962916004966042,46.17891276334059,31
baseline_00048,10.799815539773558,45.86229141971413,24
baseline_00049,10.811734005666219,46.24830191694378,29
baseline_00050,11.86539027303556,46.164061380211464,19
baseline_00051,11.16622047066903,46.34777346096383,19
baseline_00052,10.598628245647026,46.04364445420121,28
baseline_00053,11.092061608987335,46.07458778891991,98
baseline_00054,11.553544955504426,46.25207528666401,15
baseline_00055,11.060403502190482,45.96472502566415,23
baseline_00056,10.73953390156842,46.058751084607756,23
baseline_00057,11.089498150429751,45.91246324421525,36
baseline_00058,11.12159699565089,46.413774076252444,34
baseline_00059,11.185813070003041,45.85672604260054,14
baseline_00060,11.058015263324473,45.72330334717531,12
baseline_00061,10.852819876667208,46.34730138012046,27
baseline_00062,11.139539302181591,46.03672550302865,179
baseline_00063,10.686040497266939,45.92808624828036,31
baseline_00064,11.915534744949,46.17106075825959,20
baseline_00065,11.21180933131226,46.40635148117511,20
baseline_00066,10.573220979113767,45.832708068181766,23
baseline_00067,11.351063344215646,46.25366488736116,14
baseline_00068,11.350283947029732,46.20564066537127,14
baseline_00069,11.08548490904408,46.174924643283006,64
baseline_00070,10.760758236001196,46.28891403100011,12
baseline_00071,10.812763203306616,46.013310249305945,25
baseline_00072,10.929821282245273,46.31959863155879,20
baseline_00073,10.561788247395578,46.06707063296214,47
baseline_00074,10.562872262141303,45.85621597267533,128
baseline_00075,11.7828360186103,46.42918931204007,30
baseline_00076,11.010411496431237,45.80855608743682,166
baseline_00077,11.711657844116505,46.27803125948636,17
baseline_00078,10.613893080337903,46.148733611114075,74
baseline_00079,10.863613328652232,46.193123735214485,16
baseline_00080,11.190179794527218,46.4516107327336,19
baseline_00081,11.092057303095334,45.91085909426235,36
baseline_00082,11.571906357073114,46.14740617884854,31
baseline_00083,11.817677040376946,46.14216762642009,18
baseline_00084,11.712941950552267,46.173924503313266,13
baseline_00085,10.917859092758585,46.44614434656061,36
baseline_00086,11.654825163458113,46.41321795638127,22
baseline_00087,11.630646444680396,46.433373576627936,52
baseline_00088,11.066077469136921,46.206741683583246,32
baseline_00089,11.676954533212664,46.431035205614975,20
baseline_00090,11.664059195290594,46.41610937372598,25
baseline_00091,11.769697761840982,46.41140357215917,15
baseline_00092,10.788212617640188,46.37527069048827,18
baseline_00093,11.147537715547923,45.935383111473165,26
baseline_00094,10.948076482824378,46.41635788875796,18
baseline_00095,11.421225510636337,46.01665849568202,19
baseline_00096,10.615957416816174,46.0466658689428,18
baseline_00097,11.367942378282127,46.11277798008973,14
baseline_00098,11.034080058621962,46.1688309833273,19
baseline_00099,10.836987980966677,46.28254316286681,22
baseline_00100,11.57299273270912,46.24972182303524,18
baseline_00101,11.0023968447191,45.733056315100804,22
baseline_00102,10.926404988636046,46.40230471178213,21
baseline_00103,10.919409437520736,46.02415447324274,27
baseline_00104,11.060069818688431,45.927180812949864,55
baseline_00105,10.644485431039259,46.03452247518924,17
baseline_00106,11.872715810095837,46.255475883376015,78
baseline_00107,11.815980600369775,46.20231473456285,22
baseline_00108,10.906818928144057,46.14418638138526,61
baseline_00109,11.101592764654269,46.17175275723196,100
baseline_00110,11.441201478401801,46.07283607059769,29
baseline_00111,11.120130287430344,45.85668656230963,14
baseline_00112,11.166998669469164,46.448036151661185,19
baseline_00113,10.580296725788127,46.11624356463998,80
baseline_00114,11.688513239470424,46.31897384245129,21
baseline_00115,10.822063334978395,46.081565214288496,23
baseline_00116,11.078258355110627,46.21457256540839,39
baseline_00117,10.745918182530913,46.27185035345697,12
baseline_00118,11.199009715564245,45.88273514178285,20
baseline_00119,11.586609860968673,46.33523799205343,17
baseline_00120,10.613215303720642,46.03856515673144,21
baseline_00121,10.828643098258654,46.40258088490329,15
baseline_00122,11.14173489240068,46.362221899153404,18
baseline_00123,11.798790574964432,46.19985241606138,19
baseline_00124,11.538738247718573,46.10706223690391,29
baseline_00125,11.706860511358245,46.14413024448009,14
baseline_00126,11.807525117723907,46.31253744787568,18
